"id","title","subject","tags","level","link","standardNumber"
1,"NCEA Level 3 Calculus Differentiation Tutorial - Parametric Equations","calculus","{calculus,maths,differentation,level3,parametric}",3,"https://www.youtube.com/embed/JakeaV-vQAE","91578"
2,"NCEA Level 3 Calculus Complex Numbers - Z is a solution","calculus","{calculus,maths,""complex numbers"",level3,z}",3,"https://www.youtube.com/embed/hZyPoq9OscU","91577"
